year;cpop;cinc;G;p1;p5;p10;p20;p25;p30;p40;p50;p60;p70;p75;p80;p90;p95;p99;share_p20;share_p40;share_p60;share_p80;share_p95
1945.5;1366482;8133597;0.367423147;2.04779911;2.256212473;2.561893463;3.137735605;3.322601795;3.532288551;4.033973694;4.504973412;5.132497311;5.948150158;6.470439911;7.152328968;9.77369976;13.71160507;30.76512527;594408.9375;1580899.75;2765662;4377682.5;6094178.5
1949.5;963091;8689535;0.309200376;4.078017235;4.414434433;4.897851944;5.339492798;5.555220127;5.795484543;6.311752796;6.937894344;7.703665733;8.74263382;9.429634094;10.31071091;13.54349327;18.28513908;42.16461182;733995.3125;1943853.125;3304105.5;5017992.5;6881795
1951.5;1092041;10207126;0.316622168;4.085484505;4.455840588;4.992682457;5.419845104;5.666152;5.941850662;6.481420994;7.148211479;7.975465775;9.068759918;9.789520264;10.71585083;14.03454876;18.95840836;44.15062714;848707.5625;2231591.25;3873231.25;5848880;8039075
1953.5;1146650;10980607;0.325713098;4.085278511;4.454695702;4.990048885;5.444959641;5.707512856;6.001721382;6.552925587;7.240569115;8.09926033;9.234025955;9.996938705;10.95924377;14.48183155;19.71975517;46.57487869;904637.25;2357598.75;4092932.75;6227942;8587818
1955.5;1280138;12652565;0.33733362;4.101804733;4.547433376;5.069102287;5.603575706;5.919970512;6.205705643;6.842257977;7.579576015;8.502205849;9.737091064;10.54582119;11.58324432;15.33828545;20.88558769;50.10696793;1025774.25;2687340;4590986.5;7078554;9817707
1957.5;869069;10674197;0.33274141;6.038243771;6.197751999;6.413259029;6.90902853;7.167307854;7.438699722;8.077583313;8.85667038;9.863010406;11.25667191;12.21719265;13.47503281;18.4037838;26.43055916;64.30786133;;2388724;3929191.5;5909584;8189869
1959.5;1028900;13141978;0.343254626;6.044050694;6.228230953;6.478209972;7.046163082;7.314524174;7.612720013;8.293726921;9.124242783;10.20118809;11.68549252;12.69725418;14.02739143;19.28490448;27.67708206;68.72572327;1308653.75;2836665.5;4748387.5;7186974;9997360
1961.5;1101714;16158879;0.355164379;6.186219692;7.002954006;7.271934032;7.894203186;8.216355324;8.556084633;9.336071014;10.285923;11.52203751;13.24008846;14.41114902;15.97912407;22.19480515;32.35990524;81.51538849;1481684.75;3420492.5;5714255;8681275;12149303
1963.5;1113249;18886668;0.35824725;7.225272655;8.051765442;8.372621536;9.096857071;9.456788063;9.8573246;10.73724651;11.82223129;13.22103214;15.19522667;16.53712654;18.34809303;25.76424789;37.85301971;96.1421814;1820126.875;3994248.25;6662292.5;10083990;14150441
1965.5;1329797;24051696;0.355569035;7.307394028;8.17470932;8.600431442;9.553244591;10.09692478;10.52743912;11.59188747;12.82819176;14.44903755;16.58966255;18.11426353;20.06510544;27.68389511;39.42507935;99.0381546;2190169.75;5053807.5;8515491;13008111;18238030
1967.5;1527515;29964938;0.356449336;7.443218231;8.352909088;9.072659492;10.27606773;10.83305359;11.46834183;12.72532654;14.23955822;16.0504818;18.42214775;20.08899117;22.1762619;30.25379944;42.41821671;105.7774429;2689707.25;6230189;10617752;16308616;22873860
1969.5;1534400;35821208;0.347913027;9.460429192;10.39049053;11.1488409;12.47993565;13.19516373;13.81850338;15.33373547;17.04650497;19.11556435;21.84660339;23.73018074;26.23451805;35.63142395;49.87077332;123.3930435;3331333;7625389.5;12894581;19570064;27480558
1971.5;1690542;44408324;0.359049231;9.727679253;10.74289703;11.78136826;13.66317272;14.55039787;15.4216404;17.20776939;19.16501999;21.50988579;24.67694855;26.83734131;29.61070442;40.5538559;56.89434814;140.2849884;3939278.25;9171931;15671425;24090224;33882228
1973.5;1899416;58020880;0.349768788;10.20100021;11.52624893;13.10610485;15.83812332;17.19355202;18.39051628;20.74394035;23.34432983;26.28524971;30.25072479;32.68544006;35.98388672;47.9246521;64.84713745;149.6357269;4935484;11904132;20450392;32290644;45387956
1975.5;2010646;64964736;0.341659039;10.16397762;11.54790401;13.27333832;16.53741646;18.16563797;19.63742638;22.57729721;25.58543396;28.96589851;33.33780289;36.19284439;39.63933945;52.14509964;68.48496246;145.0066986;5301637.5;13193935;23235576;37060904;52052424
1977.5;2104446;70561968;0.342398435;10.25961971;11.76730442;13.56534767;17.10160637;18.70383453;20.34871292;23.43058205;26.53048134;30.35756111;35.01078033;37.81438446;41.53133392;54.49597168;71.50695801;148.647583;5699338.5;14231231;25392098;40178340;56704172
1979.5;2215582;78992696;0.346672207;10.29858017;12.04959297;14.04096317;17.80111885;19.67074013;21.46352196;24.84684181;28.20667458;32.29224014;37.38117599;40.65885925;44.55331039;58.54171753;76.68987274;157.5003052;6177990.5;15679371;27881186;44982492;63536624
1981.5;2340158;88435840;0.351030529;11.00651264;12.5478344;14.63813782;18.71761513;20.66133308;22.56049347;26.08006287;29.84457397;34.01913452;39.37783051;42.78128815;47.08157349;62.23596954;81.90026093;168.1360779;6844952;17023128;31170214;49891808;70811888
1983.5;2417294;97356168;0.353306383;11.46236229;13.27395344;15.43297672;19.7063961;21.7634449;23.78658295;27.55657768;31.73234558;36.41146469;42.22645569;45.98975372;50.64161301;66.79914093;87.43511963;177.7959137;7450965;18466248;34094636;54963452;78028024
1985.5;2604186;108858888;0.352550983;10.51134109;12.89837551;15.88528919;20.56227493;22.53094292;24.84437943;28.78252792;32.9464035;37.70889282;43.62910843;47.40604019;52.1113472;68.52253723;90.02085876;185.624115;8136811;20899978;38143036;61344780;86999080
1987.5;2594064;121777872;0.348083615;10.93712234;15.34505367;18.51296616;23.61043739;25.95544815;28.04199791;32.38235092;36.98696899;42.29266357;48.95623779;53.17287827;58.42869568;76.68422699;100.6512909;;9117537;23667498;43140628;69019248;97547664
1989.5;2718107;140040672;0.350664109;11.40845013;16.33766747;20.26723671;25.94722748;28.36800194;30.89411163;35.6539917;40.6365242;46.42214966;53.72608185;58.36779404;64.14160156;84.09204102;110.3757095;;10537043;27430906;49547764;79241424;111713304
1991.5;2762419;156982048;0.341370016;15.00234413;18.20368576;22.34174728;29.06077385;31.86092567;34.69325256;40.10562897;45.61959457;52.04478073;60.30633163;65.4249649;71.74515533;93.39660645;120.5773468;;12046757;31437996;56446456;90199280;127150360
1993.5;2803710;162631648;0.336043835;15.17123985;19.20177078;23.32628822;30.19229889;32.8445282;35.75734329;41.17840576;46.87195969;53.4045639;61.63728714;66.80888367;73.20189667;95.01805115;122.2136536;;12886151;32677552;59111004;94130408;132190800
1994;;;;;;;;;;;;;;;;;;;;;;;
1995;;;;;;;;;;;;;;;;;;;;;;;
1996;;;;;;;;;;;;;;;;;;;;;;;
1997;;;;;;;;;;;;;;;;;;;;;;;
1998;;;;;;;;;;;;;;;;;;;;;;;
1999;;;;;;;;;;;;;;;;;;;;;;;
2000;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;;;;;
2003;3286615;213224032;0.345188171;17.02359772;21.30534363;26.0028553;33.24590683;36.33437347;39.23246384;45.16640091;51.36731339;58.61849976;67.7162323;73.49149323;80.82502747;105.7134094;137.436203;;16435942;42682536;76358144;121490952;170453888
2004;3290173;214926176;0.346785218;17.02819443;21.3231144;26.03632545;33.31378555;36.41615295;39.36933136;45.3167572;51.57331467;58.91136551;68.16378784;74.04875183;81.50551605;106.835907;139.1463165;;16491621;42781552;76736512;122136736;171743088
2005;3315027;219628784;0.352235287;17.05070496;21.38226128;26.08047295;33.41968918;36.53992462;39.54064941;45.50823212;51.84565353;59.32315826;68.71013641;74.68264008;82.24398804;108.1530685;141.3570404;;16686790;43188172;77733680;123742064;174429008
2006;3290696;221983520;0.3537862;17.27454948;21.87991524;26.6768837;34.16381454;37.13835144;40.24347305;46.03702164;52.4093399;60.05470657;69.4528656;75.5826416;83.18193817;109.8344727;144.2950134;;17129184;43542940;78490248;124538480;175763456
2007;3347118;231778224;0.358762115;17.33626938;22.07299232;27.0183506;34.75587463;37.73426819;40.8540802;46.82649994;53.40890884;61.21763611;71.01498413;77.28134155;85.25224304;112.8518753;148.8939819;;17860142;44827264;80958872;129163616;182944784
2008;3387360;234552736;0.358565211;17.36800385;22.1897316;27.24295425;35.01935959;37.88422394;40.98692322;46.91466141;53.34740829;60.9288559;70.5043335;76.65706635;84.47175598;112.5061569;149.5225677;;18231484;45540048;82116888;130490160;184802432
2009;3422210;237125440;0.353831112;16.73269272;22.30768204;27.3887558;35.19877625;38.15578842;41.27345657;47.30410767;53.87168121;61.5555687;71.31193542;77.574646;85.61225128;113.5260239;149.4510345;;18441900;46300284;83542144;133063184;188431376
2010;3468101;242419952;0.356095701;16.71043968;22.26802254;27.36828423;35.27322388;38.28575516;41.42218018;47.53134155;54.18595123;61.98177719;71.88020325;78.2786026;86.48970795;114.9848785;151.8943024;;18657972;47035100;84965752;135552368;192309280
